start,text
4990.72, Scoreboard indicates the size of their impending task.
4994.72, They have a free kick here as
4999.72, Ruggieri
5004.72, found Waddle.
5005.72, Argentina seemingly not knowing how to defend this free kick
5018.72, bent in by Hoddle towards the back post and the header from Butcher straight into the hands of Pompido.
5031.72, Just had to react quickly.
5032.72, And in doing so couldn't generate the power or get the direction right to beat the Argentinian goalkeeper.
5063.72," It's a little coming together off the ball there involving Butcher, the play goes on."
5067.72, Sanson plays it forward and was fouled.
5070.72, Once the ball had gone by Ecto Enrique.
5077.72, Maradona talking to the referee about the earlier
5081.72, challenge in that same move as England brought it out from the back.
5092.72," Hoddle with the free kick, plenty offside."
5122.72, Let's go.
5152.72, Four from Butcher.
5166.72, Barnes the player that England need to try and get into the game here.
5170.72, They have another free kick.
5185.72, The game becoming increasingly fragmented.
5192.72, That won't phase England too much if they can build up a catalogue of set-piece opportunities
5199.72, around the edge of the penalty area.
5217.72, The reverse ball for Barnes was the intention.
5219.72, Didn't come off from Hoddle.
5222.72, Not too much of what England have tried in an attacking context has come off.
5236.72, Sanson with another long throw.
5242.72, Stevens.
5244.72, Barnes looking it on towards Lineker.
5249.72, Argentina repelling the thread again.
5252.72, Back from Hodge.
5254.72," Barnes getting towards the byline, he's done well."
5257.72, It's Lineker and England are back in the game.
5261.72, The rare attempt on target halves the deficit and sets up a frantic last ten minutes.
5279.72, First chance that England have had to get the ball to the feet of Barnes.
5284.72," Excellent run, pinpoint delivery, the kind of service on which Lineker thrives."
5290.72, His sixth goal of the tournament.
5301.72, Now Maradona as Argentina look to restore their two goal cushion straight away.
5307.72, Tapia hits the post.
5311.72, Almost a goal at either end in the space of 30 seconds or so.
5319.72," Now Waddle, England with their tails up."
5334.72," Ball for just too long for Pompido, the offside flag is up."
5338.72," Well, Lineker gave chase from Pompido."
5351.72," He knew that he could come and collect it relatively comfortably, but he's seen the flag come up, decided to kick the ball away."
5359.72, Just waste a few more valuable seconds.
5368.72, Butch out.
5399.72," Ricardo Giusti, former Copa Libertadores winner with the throw."
5424.72," With just a little faint glimmer of hope again, time very much against them."
5446.72, Throw from Giusti.
5453.72," England turning over possession, neatly in the midfield, but again nothing comes of it."
5477.72, Stevens.
5484.72, Poddle.
5493.72, Valdano almost taking liberties.
5498.72, Giusti.
5500.72," Butch with a late challenge on him, Argentina able to bring the ball forward with real attacking intent and Valbano goes to ground."
5513.72," England defense for the first time, brutally exposed."
5544.72," Stretcher there for Valdano, who's being told that any treatment he receives has to be off the field of play."
5554.72, Message that's prelude to a remarkable recovery.
5558.72," Argentina goal now makes the game safe, cements their place in the semi-finals."
5579.72," Maradona on a hat-trick, can't hit the target."
5588.72," Can England create one more chance, can they get the ball to waddle or barns?"
5604.72, Utilize the width.
5610.72," Straight ball over the top, is this the moment? No."
5614.72," Excellent, defending by Brown to cover the run of Sansom."
5631.72," Sansom again, launching a long one inside the penalty area."
5636.72, Some tired legs out there now on the England team.
5641.72, Waddle.
5644.72, Blocked off by Tapia.
5647.72, Precursor to an Argentina counter-attack.
5650.72, Wonderful challenge by the retreating Hodge to dispossess Maradona.
5654.72, And now barns.
5657.72," He's got Lineker and Beardsley in the middle, if he can get it across."
5661.72," And he can get it across, and it was so close."
5673.72, It's Lineker and not the ball that ends up over the line.
5678.72," Tantalizing delivery, really good defensive header."
5683.72," Getting it out of the path of Lineker, who's hurt in the process."
5688.72, I wonder why England didn't bring barns on sooner than they did.
5694.72," He's caused problems whenever he's had it, and he's been able to run particularly at Enrique."
5718.72, Off Maradona.
5720.72, Had a play for an England throw.
5722.72, Argentina nearly there.
5724.72," Sansom again, looking for barns."
5727.72, And Brown can shepherd it over the line.
5729.72, Had a play for an Argentina goal kick.
5739.72," Well, this will be revenge for Argentina for the..."
5743.72," Defeated the quarterfinals in 1966 when Jeff Hurst's late goal gave England the win,"
5748.72," when Ratin sent off famously for Argentina, who refused to leave the field."
5763.72, Here's barns.
5766.72, Three Argentinian players converging on him.
5773.72," Maradona, boot-raced high by Butcher."
5778.72, Indirect free kick to Argentina.
5780.72," Unsurprisingly, they work it all the way back for Compido."
5810.72, The 90 minutes are up.
5825.72, It's all now time being added at the discretion of the referee.
5835.72, Stevens.
5837.72," England desperate to get it forward, quickly."
5842.72, Unable to get decent possession of the ball at the moment.
5846.72, Maradona.
5851.72," Enrique, having to take the ball down at the corner flag."
5855.72, Can't do any harm to Argentinian prospects there.
5866.72, Shilton driving it forward as quickly as he can.
5872.72," It was a good, effective long kick as well."
5877.72, Waddle with the throw for England.
5881.72," Stevens with the ball forward, the whistle is gone."
5884.72, Argentina are through.
5888.72," Two Diego Maradona goals, enough to beat England."
5893.72," 20 years on after their elimination in the 1966 quarterfinals,"
5898.72, they've beaten England in the 86 quarterfinals.
5901.72," Maradona with two goals, both of which will be talked about for a long, long time."
5907.72," The second, a moment of sheer, sublime artistry."
5912.72," The first, less so."
5916.72, But Maradona will take the plaudits.
5918.72," Argentina in the semifinals, they've beaten England 2-1."
5948.72," For more information, visit www.fema.gov"
